Category,Brand Name,Model Name,Description,Material,Care,Page URL,Title,Meta description,Meta keywords
unisex/Shoes/Sneakers,adidas Originals,Superstar - Unisex,"Debuting in 1969, the adidas Originals Superstar sneakers were the first low-top basketball shoes. A faithful reproduction of the style, this streetwear staple has a smooth leather upper, signature 3-Stripe detailing and an iconic shell toe. - Genuine leather upper- White; black accents- Black signature foxed 3-Stripes on each side- Seven-eye lace-up design- Rounded, iconic shell toe- Black and metallic gold branding to tongue- Metallic gold SUPERSTAR text detail; outer side- Black panel to heel counter- Rubber outsole","Inner: Synthetic
Sole: Synthetic
Upper: Leather",,https://www.theiconic.com.au/superstar-unisex-998179.html,Superstar - Unisex by adidas Originals Online | THE ICONIC | Australia,Buy Superstar - Unisex by adidas Originals online at THE ICONIC. Free and fast delivery to Australia and New Zealand.,"Superstar - Unisex, adidas Originals, Shoes, Sneakers, Low-Tops"
unisex/Shoes/Sneakers,Converse,Chuck Taylor All Star Leather Ox,"PLEASE NOTE - Converse
shoes are in US men's sizing. M6/W8 equates to a men's AU size 6/women's AU
size 8. To ensure the correct fit, please refer to the size & fit info
below.  - Iconic low-cut silhouette- Rubber toecap- Seven-eye lace-up design- Eyelets on the side- Logo on the tongue and sole- Vulcanised rubber sole","Inner: Textile
Sole: Rubber
Upper: Leather","MenвЂ™s:
Converse shoes are in US men's sizing, which is the same as standard AU men's
sizing. For example if you are an AU size 9, please order a size M9.В WomenвЂ™s:
Converse shoes are in US men's sizing. For the correct fit please select your
size from the W in the drop-down above. For example if you are an AU size 7,
please order a size W7.",https://www.theiconic.com.au/chuck-taylor-all-star-leather-ox-184192.html,Chuck Taylor All Star Leather Ox by Converse Online | THE ICONIC | Australia,Buy Chuck Taylor All Star Leather Ox by Converse online at THE ICONIC. Free and fast delivery to Australia and New Zealand.,"Chuck Taylor All Star Leather Ox, Converse, Shoes, Sneakers, Low-Tops"
unisex/Shoes/Sneakers,Veja,Esplar Unisex,"Crafted from genuine leather, the Esplar sneakers by Veja have been named after a Brazilian NGO that supports organic cotton farming families by bringing them technical support when they need it most. The comfy pair features innovative technologies and is environmentally friendly. - Smooth leather upper - Off-white shade; black accents- Round toe - Lace-up fastening - Logo V on the sides - Brand's name detail on the heel encounter - Organic cotton inner - Wild rubber outsole - Made in Brazil","Inner: Textile
Sole: Synthetic
Upper: Leather",,https://www.theiconic.com.au/esplar-unisex-549372.html,Esplar Unisex by Veja Online | THE ICONIC | Australia,Buy Esplar Unisex by Veja online at THE ICONIC. Free and fast delivery to Australia and New Zealand.,"Esplar Unisex, Veja, Shoes, Sneakers, Low-Tops"
unisex/Shoes/Sneakers,Reebok,Club C 85 - Unisex,"Founded in 1958, sportswear giant Reebok is renowned around the world for designing and delivering performance footwear and apparel that inspires the wearer to be their absolute best. The brand incorporates the latest technical fabrications and performance technologies to create a range of shoes and apparel for people who treat fitness as a way of life. With an extensive edit of the brandвЂ™s signature sneakers, slides and sportswear separates, THE ICONIC is your gateway to the very best Reebok has to offer. - Soft white leather upper  Low-cut design for freedom of motion at the ankle  Seven-eye lace-up design  Cushioned interior walls  High abrasion rubber outsole for durability  Branded tongue tab and heel counter in green Iconic Reebok logo and windowbox on outer","Inner: Textile
Sole: Synthetic
Upper: Leather & Textile",,https://www.theiconic.com.au/club-c-85-unisex-703708.html,Club C 85 - Unisex by Reebok Online | THE ICONIC | Australia,Buy Club C 85 - Unisex by Reebok online at THE ICONIC. Free and fast delivery to Australia and New Zealand.,"Club C 85 - Unisex, Reebok, Shoes, Sneakers, Low-Tops"
unisex/Shoes/Lifestyle Shoes,adidas Originals,X-Plr - Unisex,"Cult favourite sportswear label adidas Originals bring you the X-Plr - Unisex sneakers, a modern, fresh and understated take on the brand's signature sporty look. A woven upper keeps the foot cool at all times, while leather-look overlays offer stylish support. - Seam-free woven textile upper - Leather-look overlays- Black shade; white accents- Pull-tab at heel - Lace-up front - Padded lining - Cushioned midsole for comfort; grip outsole for traction - Iconic 3-Stripes on side in white","Inner: Textile
Sole: Rubber
Upper: Textile & Synthetic",,https://www.theiconic.com.au/x-plr-unisex-551831.html,X-Plr - Unisex by adidas Originals Online | THE ICONIC | Australia,Buy X-Plr - Unisex by adidas Originals online at THE ICONIC. Free and fast delivery to Australia and New Zealand.,"X-Plr - Unisex, adidas Originals, Shoes, Lifestyle Shoes, Low Top Sneakers"
Men/Shoes/Loafers,Staple Superior,Molina Woven Leather Loafers,"Based in Sydney, menswear label Staple Superior offers accessories in look enhancing styles and shapes that every man needs. From clean and casual to sharp and sophisticated, Staple Superior will help achieve effortless style through whatever life throws at you. - Genuine woven leather upper and lining - Dark brown shade - Huarache braiding throughout - Round toe - Fringed strap across the tongue- Slip-on design","Inner: Leather
Sole: Synthetic
Upper: Leather",,https://www.theiconic.com.au/molina-woven-leather-loafers-705035.html,Molina Woven Leather Loafers by Staple Superior Online | THE ICONIC | Australia,Buy Molina Woven Leather Loafers by Staple Superior online at THE ICONIC. Free and fast delivery to Australia and New Zealand.,"Molina Woven Leather Loafers, Staple Superior, Shoes, Loafers, Casual Shoes"
Men/Shoes/Sneakers,Lacoste,Graduate - Men's,"For sport-meets-casual staples that take their cues from traditional tennis codes, look no further than Lacoste. Boasting a clean low-profile design worked in smooth genuine leather, the Graduate sneakers honour the brand's heritage with the signature embroidered croc logo. Finished with a cushioned OrtholiteВ® insole, the pair make a comfortable everyday staple to chinos and denim. - Genuine leather upper - Optic white shade - Round toe - Seven-eye lace-up design - Embroidered branding on the tongue; navy - Soft textile lining - Synthetic overlay to heel counter; embroidered branding - White rubber traction sole - OrtholiteВ® insole","Inner: Synthetic
Sole: Synthetic
Upper: Leather",,https://www.theiconic.com.au/graduate-men-s-717954.html,Graduate - Men's by Lacoste Online | THE ICONIC | Australia,Buy Graduate - Men's by Lacoste online at THE ICONIC. Free and fast delivery to Australia and New Zealand.,"Graduate - Men's, Lacoste, Shoes, Sneakers, Low-Tops"
Men/Shoes/Sneakers,Aquila,Deco,"Aquila has been dressing Australian men with confidence and style since 1958. Aquila prides themselves on craftsmanship, design and service, taking cues from their European heritage and combining them with tailored style for the modern man.",,Spray lightly with Eco Water Proof Spray before use. Use sneaker wipes to clean surface dirt off the leather. Rotate shoes often to ensure they dry between wears.,https://www.theiconic.com.au/deco-992056.html,Deco by Aquila Online | THE ICONIC | Australia,Buy Deco by Aquila online at THE ICONIC. Free and fast delivery to Australia and New Zealand.,"Deco, Aquila, Shoes, Sneakers, Lifestyle Sneakers"
Men/Shoes/Accessories,Polo Ralph Lauren,Dezi IV Slippers,"Incorporate luxe loungewear into your off-duty rotation with the Dezi IV Slippers by Polo Ralph Lauren. Crafted with a soft microsuede upper, cosy faux-shearling lining in a semi-structured moccasin design, they're finished with tonal top stitching and signature logo embroidery. - Black microsuede upper - Black faux shearling lining - Rounded toe - Slip-on semi-structured moccasin design - Tonal embroidered logo on the front - Rubber outsole","Inner: Synthetic
Sole: Synthetic
Upper: Textile",,https://www.theiconic.com.au/dezi-iv-slippers-886068.html,Dezi IV Slippers by Polo Ralph Lauren Online | THE ICONIC | Australia,Buy Dezi IV Slippers by Polo Ralph Lauren online at THE ICONIC. Free and fast delivery to Australia and New Zealand.,"Dezi IV Slippers, Polo Ralph Lauren, Shoes, Accessories, Slippers & Accessories"
Men/Shoes/Loafers,Staple Superior,Miguel Woven Lace Up,"Based in Sydney, menswear label Staple Superior offers accessories in look enhancing styles and shapes that every man needs. From clean and casual to sharp and sophisticated, Staple Superior will help achieve effortless style through whatever life throws at you. - Genuine woven leather upper and lining- Tan shade- Round toe- Three-eye lace-up fastening- Huarache braiding throughout front and sides","Inner: Leather
Sole: Synthetic
Upper: Leather",,https://www.theiconic.com.au/miguel-woven-lace-up-705037.html,Miguel Woven Lace Up by Staple Superior Online | THE ICONIC | Australia,Buy Miguel Woven Lace Up by Staple Superior online at THE ICONIC. Free and fast delivery to Australia and New Zealand.,"Miguel Woven Lace Up, Staple Superior, Shoes, Loafers, Boat shoes"
unisex/Shoes/Boots,Dr Martens,1460 8-Eye Boots - Unisex,"вЂ‹PLEASE NOTE - THE ICONIC IS UNABLE TO SHIP THIS PRODUCT TO NEW ZEALAND For the original grunge look, you can't go past Dr Martens Classics 1460 8-Eye Boots, a direct replica of the first boots to roll off the production line in 1960. - Genuine leather upper - Goodyear welted sole construction delivers exceptional durability, and is resistant to oil, fat, acid, petrol and alkali; air-cushioned honeycomb insulation technology creates a lightweight, anti-shock feel underfoot- Rounded toe- Eight-eye lace-up fastening- Classic looped pull tab- Topstitch detailing around the sole PLEASE NOTE: Dr Martens shoes come in UK sizing. Please refer to the Size Guide to ensure you receive the correct size.","Inner: Leather
Sole: Man-Made
Upper: Leather",,https://www.theiconic.com.au/1460-8-eye-boots-unisex-130930.html,1460 8-Eye Boots - Unisex by Dr Martens Online | THE ICONIC | Australia,Buy 1460 8-Eye Boots - Unisex by Dr Martens online at THE ICONIC. Free and fast delivery to Australia and New Zealand.,"1460 8-Eye Boots - Unisex, Dr Martens, Shoes, Boots, Lace-up Boots"
unisex/Shoes/Sneakers,Superga,2750 Cotu Classic - Unisex,"A timeless design that has been in production since 1911, the Superga 2750 Cotu Classic tennis shoes feature an extra strong, breathable cotton-canvas upper and a vulcanised rubber outsole. - Durable cotton canvas upper- White hue- Rounded toe- Six-eye lace up front- Branded tab on the side and heel counter- Vulcanised rubber outsole","Inner: Textile
Sole: Rubber
Upper: Textile",,https://www.theiconic.com.au/2750-cotu-classic-unisex-180647.html,2750 Cotu Classic - Unisex by Superga Online | THE ICONIC | Australia,Buy 2750 Cotu Classic - Unisex by Superga online at THE ICONIC. Free and fast delivery to Australia and New Zealand.,"2750 Cotu Classic - Unisex, Superga, Shoes, Sneakers, Low-Tops"
unisex/Shoes/Sneakers,adidas Originals,Swift Run - Unisex,"Drawing inspiration from heritage adidas Originals running elements, the unisex Swift Run sneakers combine everyday street style with streamlined sport functionality. Crafted from a flexible and breathable knitted upper for a comfortable sock-like fit, the low-tops offer lightweight support and an effortlessly sleek charm. - Knitted upper; embroidered details to heel and front- Sock-like fit- All-over black hue- Black signature 3-Stripes to sides- Injection-moulded lightweight EVA midsole- Rubber outsole","Inner: Textile
Sole: Synthetic
Upper: Textile",,https://www.theiconic.com.au/swift-run-unisex-641867.html,Swift Run - Unisex by adidas Originals Online | THE ICONIC | Australia,Buy Swift Run - Unisex by adidas Originals online at THE ICONIC. Free and fast delivery to Australia and New Zealand.,"Swift Run - Unisex, adidas Originals, Shoes, Sneakers, Low-Tops"
unisex/Shoes/Sneakers,adidas Originals,Swift Run - Unisex,"Drawing inspiration from heritage adidas Originals running elements, the unisex Swift Run sneakers combine everyday street style with streamlined sport functionality. Crafted from a flexible and breathable knitted upper for a comfortable sock-like fit, the low-tops offer lightweight support and an effortlessly sleek charm. - Knitted upper; embroidered stripe details to heel and front- Sock-like fit- All-over white hue- White signature 3-Stripes to sides- Injection-moulded lightweight EVA midsole- Rubber outsole","Inner: Textile
Sole: Synthetic
Upper: Textile",,https://www.theiconic.com.au/swift-run-unisex-641868.html,Swift Run - Unisex by adidas Originals Online | THE ICONIC | Australia,Buy Swift Run - Unisex by adidas Originals online at THE ICONIC. Free and fast delivery to Australia and New Zealand.,"Swift Run - Unisex, adidas Originals, Shoes, Sneakers, Low-Tops"
Men/Shoes/Running,Nike,Epic React Flyknit 2 - Men's,"Expertly designed with a lightweight and breathable Flyknit upper, the Nike Epic React Flyknit 2 running shoes offer superior cushioning and bounce with their React foam midsole. - Lightweight and supportive Flyknit upper - Medium grey, neon pink, black and white - Lace-up design; Flywire cables secure the midfoot for added support - Rubberised Swoosh to sides - Contoured low-cut collar for snug fit - Heel pull tab with epic react print - Nike React foam midsole for cushioning and bounce - Moulded heel for secure feel - Rubber traction pattern to forefoot and heel for durability","Inner: Synthetic
Sole: Synthetic
Upper: Synthetic",,https://www.theiconic.com.au/epic-react-flyknit-2-men-s-838215.html,Epic React Flyknit 2 - Men's by Nike Online | THE ICONIC | Australia,Buy Epic React Flyknit 2 - Men's by Nike online at THE ICONIC. Free and fast delivery to Australia and New Zealand.,"Epic React Flyknit 2 - Men's, Nike, Shoes, Running, Performance Shoes"
unisex/Shoes/Sneakers,Converse,Chuck Taylor All Star 70 Hi Top - Unisex,"The Chuck Taylor All Star 70 Hi Top sneakers pay homage to Converse's original 1970s design. The perfect combination of vintage and modern, the black high-top sneakers are made from heavy-duty cotton canvas with a cushioned insole and higher rubber foxing for enhanced comfort and durability without sacrificing the unmistakable aesthetic. - 100% Cotton heavy-grade canvas uppers- Black shade- Higher rubber foxing; signature rubber toecap- Eight-eye lace-up fastening- Star-centred Chuck Taylor ankle patch on the inner side - Cushioned footbed- Vulcanised non-marking rubber outsole PLEASE NOTE: Unisex Converse shoes come in US men's sizing. M6/W8 equates to a men's AU size 6/women's AU size 8. To ensure the correct fit, please refer to the size & fit info below.","Inner: Textile
Sole: Rubber
Upper: Textile",,https://www.theiconic.com.au/chuck-taylor-all-star-70-hi-top-unisex-439107.html,Chuck Taylor All Star 70 Hi Top - Unisex by Converse Online | THE ICONIC | Australia,Buy Chuck Taylor All Star 70 Hi Top - Unisex by Converse online at THE ICONIC. Free and fast delivery to Australia and New Zealand.,"Chuck Taylor All Star 70 Hi Top - Unisex, Converse, Shoes, Sneakers, Hi-Tops"
unisex/Shoes/Sneakers,Converse,Chuck Taylor All Star Ox,"PLEASE NOTE - Converse
shoes are in US men's sizing. M6/W8 equates to a men's AU size 6/women's AU
size 8. To ensure the correct fit, please refer to the size & fit info
below.  - Iconic low-cut silhouette- Canvas upper- Rubber toecap- Seven-eye lace-up design- Eyelets on the side- Logo on the tongue and sole- Vulcanised rubber sole PLEASE NOTE: If you are in-between sizes, we recommend ordering one size down.","Inner: Textile
Sole: Rubber
Upper: Textile & Rubber","MenвЂ™s:
Converse shoes are in US men's sizing, which is the same as standard AU men's
sizing. For example if you are an AU size 9, please order a size M9.В WomenвЂ™s:
Converse shoes are in US men's sizing. For the correct fit please select your
size from the W in the drop-down above. For example if you are an AU size 7,
please order a size W7.",https://www.theiconic.com.au/chuck-taylor-all-star-ox-184176.html,Chuck Taylor All Star Ox by Converse Online | THE ICONIC | Australia,Buy Chuck Taylor All Star Ox by Converse online at THE ICONIC. Free and fast delivery to Australia and New Zealand.,"Chuck Taylor All Star Ox, Converse, Shoes, Sneakers, Low-Tops"
Men/Shoes/Sneakers,Nike,Air Max 270 React - Men's,"The sleek and seamless Air Max 270 React sneakers from Nike are set to become your go-to kicks, boasting a full-length React foam midsole and the iconic Air Max unit for a pair that provides lightweight cushioning and responsiveness with every wear. - Stretch knit upper with faux leather and felt overlays; no-sew construction  Jet black and optic white  Rounded toe; rubber toe bumper  Four-eye lace-up fastening; floating eye-stays to keep laces in place  Swoosh logo overlay to both sides  AIR270 MAX embroidered branding to tongue  Cushioned collar and heel  Pull tab to heel; embroidered swoosh logo to base  Full length React foam midsole for lightweight cushioning and responsiveness  Glossy black Air Max 270 unit","Inner: Non-Leather
Sole: Non-Leather
Upper: Non-Leather",,https://www.theiconic.com.au/air-max-270-react-men-s-904172.html,Air Max 270 React - Men's by Nike Online | THE ICONIC | Australia,Buy Air Max 270 React - Men's by Nike online at THE ICONIC. Free and fast delivery to Australia and New Zealand.,"Air Max 270 React - Men's, Nike, Shoes, Sneakers, Low-Tops"
unisex/Shoes/Sneakers,adidas Originals,U Path Run - Unisex,"Get up to speed with the U Path Run from adidas Originals, with a cooling breathable mesh upper and EVA midsole for that extra bit of support. - Mesh and leather upper- Deep black shade; white accents - Leather patch to tongue - D-ring lace-up system - 3-Stripes to side - EVA midsole - Grid texture to sole - Bungee heel piece for extra support","Inner: Textile
Sole: Rubber
Upper: Leather, Synthetic & Textile",,https://www.theiconic.com.au/u-path-run-unisex-938506.html,U Path Run - Unisex by adidas Originals Online | THE ICONIC | Australia,Buy U Path Run - Unisex by adidas Originals online at THE ICONIC. Free and fast delivery to Australia and New Zealand.,"U Path Run - Unisex, adidas Originals, Shoes, Sneakers, Low-Tops"
Men/Shoes/Casual Shoes,Betts,Teather Huaraches,"Turn your style
up a notch with the Teather Huarache Sandals by Betts. The distressed vegan leather
upper and distinctive woven detailing makes these sandals an eye-catching
addition to any outfit. TheyвЂ™ll be the perfect finishing touch to rolled chinos
and crisp white linen tee. - Non-leather upper and
lining - Distressed upper
finish - Woven detailing - Lace-up fastening",,,https://www.theiconic.com.au/teather-huaraches-568734.html,Teather Huaraches by Betts Online | THE ICONIC | Australia,Buy Teather Huaraches by Betts online at THE ICONIC. Free and fast delivery to Australia and New Zealand.,"Teather Huaraches, Betts, Shoes, Casual Shoes"
unisex/Shoes/Boots,Dr Martens,1460 8-Eye Boots - Unisex,"- Genuine Nappa leather upper; smooth finish- Black shade- Goodyear welted sole construction delivers exceptional durability, and is resistant to oil, fat, acid, petrol and alkali; air-cushioned honeycomb insulation technology creates a lightweight, anti-","Inner: Leather & Synthetic
Sole: Rubber
Upper: Leather",,https://www.theiconic.com.au/1460-8-eye-boots-unisex-93225.html,1460 8-Eye Boots - Unisex by Dr Martens Online | THE ICONIC | Australia,Buy 1460 8-Eye Boots - Unisex by Dr Martens online at THE ICONIC. Free and fast delivery to Australia and New Zealand.,"1460 8-Eye Boots - Unisex, Dr Martens, Shoes, Boots, Lace-up Boots"
unisex/Shoes/Sneakers,adidas Originals,Continental 80 - Unisex,"With an unwavering mission to celebrate originality, sports lifestyle giant adidas Originals recognises its rich sporting heritage and combines it with contemporary style codes to inspire all in their everyday lives. Coming in a sleek optic white design with retro grey accents, the Continental 80 sneakers are a street-savvy choice ideal for everyday wear. - Genuine smooth leather upper; French terry lining- Optic white shade with dark grey and light grey accents- Round toe with perforations - Seven-eye lace-up front - Branding to tongue, side and heel - Grosgrain taping to outer sides- Padded sole and heel - Durable rubber sole","Inner: Textile
Sole: Rubber
Upper: Leather",,https://www.theiconic.com.au/continental-80-unisex-824029.html,Continental 80 - Unisex by adidas Originals Online | THE ICONIC | Australia,Buy Continental 80 - Unisex by adidas Originals online at THE ICONIC. Free and fast delivery to Australia and New Zealand.,"Continental 80 - Unisex, adidas Originals, Shoes, Sneakers, Low-Tops"
unisex/Shoes/Sneakers,Vans,Authentic - Unisex,"Crafted from canvas, the Authentic sneakers from Vans are the perfect everyday shoes. - Woven canvas upper- Contrast stitching- Lace-up front- Matte black metal eyelets- Vulcanised rubber sole","Inner: Textile
Sole: Synthetic
Upper: Textile",,https://www.theiconic.com.au/authentic-unisex-354195.html,Authentic - Unisex by Vans Online | THE ICONIC | Australia,Buy Authentic - Unisex by Vans online at THE ICONIC. Free and fast delivery to Australia and New Zealand.,"Authentic - Unisex, Vans, Shoes, Sneakers, Low-Tops"
